36,"Fall 2009",1,5,"Thursday","First","Yard Play",,0,0,20090910,20091217,1,,"Green Top and Garden Area"
37,"Fall 2009",6,8,"Thursday","First","Cross Country",,0,0,20090914,20091214,1,,"Off Campus"
38,"Fall 2009",6,8,"Thursday","First","Volleyball",,0,0,20090914,20091214,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=12","Green Top"
39,"Fall 2009",6,8,"Thursday","First","Amnesty International","Solveig",0,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=8","6th Grade Rm"
40,"Fall 2009",3,8,"Thursday","First","Flute","Sky",3,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=24","Spanish Rm"
41,"Fall 2009",1,8,"Thursday","First","Mandarin","Jesse Liu",2,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=17","Spanish Rm"
42,"Fall 2009",1,8,"Thursday","First","Fencing","Staff",2.5,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=14","Activity Rm"
43,"Fall 2009",1,8,"Thursday","First","Tutoring","Elyse",3.5,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=19",
44,"Fall 2009",1,8,"Thursday","Second","Tutoring","Elyse",3,0,20090910,20091217,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=19",
45,"Fall 2009",4,8,"Friday","First","Homework",,0,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=16","Science Rm"
46,"Fall 2009",1,8,"Friday","First","Yard Play",,0,0,20090911,20091218,1,,"Green Top and Garden Area"
47,"Fall 2009",1,8,"Friday","First","Strategic Board Games","Ben",0,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=9","Library"
48,"Fall 2009",1,8,"Friday","First","Still Life Drawing","Huey",0,0,20090911,20091218,1,,"Art Rm"
49,"Fall 2009",1,8,"Friday","First","Clarinet","James Harding",3,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=22","Music Rm"
50,"Fall 2009",1,8,"Friday","First","Hapkido","Jino",2,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=15","Activity Rm"
51,"Fall 2009",3,5,"Friday","First","Take My Word For It!",,2,0,20090911,20091218,1,,"3rd Grade Rm"
52,"Fall 2009",1,8,"Friday","First","Tutoring","Elyse",3.5,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=19",
53,"Fall 2009",1,8,"Friday","Second","Tutoring","Elyse",3,0,20090911,20091218,1,"http://sfschool.org/drupal/civicrm/sfschool/info?reset=1&snippet=2&node=19",
